iter	Passed	Remaining
655	872	457
656	873	456
657	874	454
658	876	453
659	877	452
660	878	450
661	880	449
662	881	448
663	882	446
664	883	445
665	885	443
666	886	442
667	888	441
668	889	440
669	890	438
670	892	437
671	893	436
672	894	434
673	895	433
674	896	431
675	898	430
676	899	429
677	900	427
678	901	426
679	902	424
680	904	423
681	905	422
682	906	420
683	908	419
684	909	418
685	910	416
686	911	415
687	912	413
688	914	412
689	915	411
690	916	409
691	917	408
692	918	407
693	920	405
694	921	404
695	923	403
696	924	401
697	925	400
698	926	398
699	927	397
700	928	396
701	930	394
702	931	393
703	932	392
704	933	390
705	935	389
706	936	388
707	937	386
708	939	385
709	940	384
710	941	382
711	943	381
712	944	380
713	945	378
714	946	377
715	948	376
716	949	374
717	951	373
718	952	372
719	953	370
720	954	369
721	956	368
722	957	366
723	958	365
724	960	364
725	961	362
726	962	361
727	964	360
728	965	358
729	966	357
730	967	356
731	969	354
732	970	353
733	971	352
734	973	350
735	974	349
736	975	348
737	976	346
738	978	345
739	979	344
740	981	342
741	982	341
742	983	340
743	985	338
744	986	337
745	987	336
746	988	334
747	990	333
748	991	332
749	992	330
750	993	329
751	995	328
752	996	326
753	997	325
754	999	324
755	1000	322
756	1001	321
757	1003	320
758	1004	318
759	1005	317
760	1006	316
761	1007	314
762	1009	313
763	1010	312
764	1011	310
765	1013	309
766	1014	308
767	1015	306
768	1017	305
769	1018	304
770	1019	302
771	1020	301
772	1022	300
773	1023	298
774	1024	297
775	1026	296
776	1027	294
777	1028	293
778	1030	292
779	1031	290
780	1032	289
781	1034	288
782	1035	286
783	1036	285
784	1038	284
785	1039	282
786	1040	281
787	1042	280
788	1043	279
789	1044	277
790	1046	276
791	1047	275
792	1048	273
793	1049	272
794	1051	271
795	1052	269
796	1053	268
797	1055	267
798	1056	265
799	1057	264
800	1058	263
801	1060	261
802	1061	260
803	1062	259
804	1064	257
805	1065	256
806	1066	255
807	1068	253
808	1069	252
809	1070	251
810	1071	249
811	1072	248
812	1074	247
813	1075	245
814	1076	244
815	1077	243
816	1079	241
817	1080	240
818	1081	239
819	1082	237
820	1084	236
821	1085	235
822	1087	233
823	1088	232
824	1090	231
825	1091	229
826	1092	228
827	1093	227
828	1095	225
829	1096	224
830	1097	223
831	1099	221
832	1100	220
833	1101	219
834	1102	217
835	1104	216
836	1105	215
837	1106	213
838	1107	212
839	1108	211
840	1110	209
841	1111	208
842	1112	207
843	1113	205
844	1114	204
845	1115	203
846	1117	201
847	1118	200
848	1120	199
849	1121	197
850	1122	196
851	1123	195
852	1125	193
853	1126	192
854	1127	191
855	1128	189
856	1130	188
857	1131	187
858	1132	185
859	1133	184
860	1135	183
861	1136	181
862	1137	180
863	1138	179
864	1139	177
865	1141	176
866	1142	175
867	1143	173
868	1144	172
869	1145	171
870	1147	169
871	1148	168
872	1149	167
873	1151	165
874	1152	164
875	1153	163
876	1154	161
877	1155	160
878	1156	159
879	1158	157
880	1159	156
881	1160	155
882	1161	153
883	1163	152
884	1164	151
885	1166	150
886	1167	148
887	1168	147
888	1169	146
889	1171	144
890	1172	143
891	1173	142
892	1174	140
893	1175	139
894	1177	138
895	1178	136
896	1179	135
897	1181	134
898	1182	132
899	1184	131
900	1185	130
901	1186	128
902	1188	127
903	1189	126
904	1190	124
905	1192	123
906	1193	122
907	1194	121
908	1196	119
909	1197	118
910	1198	117
911	1200	115
912	1201	114
913	1202	113
914	1204	111
915	1205	110
916	1206	109
917	1208	107
918	1209	106
919	1210	105
920	1211	103
921	1213	102
922	1214	101
923	1215	100
924	1217	98
925	1218	97
926	1219	96
927	1221	94
928	1222	93
929	1223	92
930	1224	90
931	1226	89
932	1227	88
933	1228	86
934	1229	85
935	1231	84
936	1232	82
937	1233	81
938	1235	80
939	1236	78
940	1237	77
941	1239	76
942	1240	74
943	1241	73
944	1242	72
945	1244	71
946	1245	69
947	1246	68
948	1248	67
949	1249	65
950	1250	64
951	1251	63
952	1253	61
953	1254	60
954	1255	59
955	1256	57
956	1258	56
957	1259	55
958	1260	53
959	1261	52
960	1262	51
961	1263	49
962	1265	48
963	1266	47
964	1267	45
965	1269	44
966	1270	43
967	1271	42
968	1272	40
969	1273	39
970	1275	38
971	1276	36
972	1277	35
973	1278	34
974	1280	32
975	1281	31
976	1282	30
977	1283	28
978	1285	27
979	1286	26
980	1287	24
981	1289	23
982	1290	22
983	1292	21
984	1293	19
985	1294	18
986	1296	17
987	1297	15
988	1298	14
989	1300	13
990	1301	11
991	1302	10
992	1304	9
993	1305	7
994	1306	6
995	1307	5
996	1308	3
997	1310	2
998	1311	1
999	1312	0
